,evento,Pre o Post,Registrazioni Totali,Registrazioni Errate,Percentuale Errata
0,Event 3488,pre,5,2,40.0
1,Event 7984,pre,30,11,36.67
2,Event 8515,pre,6,2,33.33
3,Event 10937,post,24,6,25.0
4,Event 11002,post,8,2,25.0
5,Event 11134,post,4,1,25.0
6,Event 1158,pre,4,1,25.0
7,Event 8310,pre,13,3,23.08
8,Event 10862,post,5,1,20.0
9,Event 2259,pre,5,1,20.0
10,Event 8387,pre,6,1,16.67
11,Event 11124,post,6,1,16.67
12,Event 10662,post,6,1,16.67
13,Event 10957,post,7,1,14.29
14,Event 10750,post,7,1,14.29
15,Event 3246,pre,7,1,14.29
16,Event 1713,pre,21,3,14.29
17,Event 257,pre,8,1,12.5
18,Event 1473,pre,8,1,12.5
19,Event 10786,post,8,1,12.5
20,Event 11066,post,16,2,12.5
21,Event 6031,pre,8,1,12.5
22,Event 11090,post,8,1,12.5
23,Event 1734,pre,9,1,11.11
24,Event 1333,pre,29,3,10.34
25,Event 11203,post,10,1,10.0
26,Event 6015,pre,10,1,10.0
27,Event 10853,post,11,1,9.09
28,Event 782,pre,12,1,8.33
29,Event 5940,pre,12,1,8.33
30,Event 11095,post,13,1,7.69
31,Event 11021,post,14,1,7.14
32,Event 1413,pre,14,1,7.14
33,Event 10759,post,14,1,7.14
34,Event 10940,post,14,1,7.14
35,Event 4057,pre,15,1,6.67
36,Event 10925,post,17,1,5.88
37,Event 2378,pre,18,1,5.56
38,Event 8428,pre,18,1,5.56
39,Event 2396,pre,18,1,5.56
40,Event 8326,pre,21,1,4.76
41,Event 8005,pre,26,1,3.85
42,Event 8039,pre,29,1,3.45
