time,lat,lon,depth_km,mag,FI_S,label
2015-08-08 23:22:58.320000+00:00,56.052124,160.618327,-0.13,1.22,-0.59,1
2015-08-08 23:46:22.820000+00:00,56.052625,160.605843,30.05,0.83,-100.0,1
2015-08-08 23:50:54.320000+00:00,56.009473,160.544906,11.36,1.11,-0.534,1
2015-08-09 00:20:29.470000+00:00,56.057735,160.60944,34.47,0.89,-0.654,1
2015-08-09 00:36:14.200000+00:00,55.705334,160.44847,11.91,1.13,-0.098,1
2015-08-09 00:43:26+00:00,55.719609,160.47111,11.19,0.86,-0.036,1
2015-08-09 01:19:47.600000+00:00,56.05142,160.620378,-1.36,1.89,-0.891,1
2015-08-09 01:21:41.310000+00:00,56.050724,160.603223,30.69,1.66,-0.531,1
2015-08-09 01:30:01.630000+00:00,56.031327,160.584131,25.46,0.75,-0.736,1
2015-08-09 01:43:02.600000+00:00,56.058036,160.611882,32.11,1.28,-0.703,1
2015-08-09 01:55:28.420000+00:00,56.060787,160.629395,34.35,0.93,-0.764,1
2015-08-09 02:33:13.480000+00:00,56.053898,160.606738,31.77,1.21,-0.673,1
2015-08-09 02:59:22.970000+00:00,55.68995,160.405355,14.62,1.33,-0.002,1
2015-08-09 03:13:49.730000+00:00,56.039258,160.601383,27.5,1.39,-0.545,1
2015-08-09 03:21:27.260000+00:00,56.150659,160.566455,19.31,1.06,-0.434,1
2015-08-09 03:37:06.280000+00:00,56.069039,160.625879,36.04,0.9,-0.801,1
2015-08-09 03:50:00.120000+00:00,56.062158,160.617122,34.27,1.02,-0.81,1
2015-08-09 04:19:45.480000+00:00,55.660299,160.420052,12.94,0.56,-100.0,1
2015-08-09 04:49:00.710000+00:00,56.050948,160.607357,31.12,1.4,-0.542,1
2015-08-09 05:57:08.070000+00:00,56.059908,160.612826,31.46,1.06,-0.582,1
2015-08-09 07:29:06.450000+00:00,56.058875,160.605452,35.15,1.53,-0.592,1
2015-08-09 07:40:40.110000+00:00,56.054838,160.613949,34.34,1.26,-0.61,1
2015-08-09 08:09:49.310000+00:00,55.722274,160.456348,9.94,0.72,-0.087,1
2015-08-09 08:28:44.680000+00:00,56.047974,160.606673,29.93,1.4,-0.657,1
2015-08-09 09:01:09.320000+00:00,56.05693,160.615576,31.33,1.03,-0.736,1
2015-08-09 09:06:00.580000+00:00,56.043815,160.61984,37.17,1.12,-100.0,1
2015-08-09 09:52:37.920000+00:00,56.050773,160.606689,30.9,1.5,-0.625,1
2015-08-09 10:06:14.250000+00:00,55.697335,160.452262,12.06,0.75,-0.098,1
2015-08-09 10:31:55.520000+00:00,56.049455,160.607682,28.08,0.82,-0.649,1
2015-08-09 11:19:25.830000+00:00,56.041992,160.58999,27.16,1.27,-0.666,1
2015-08-09 11:39:24.520000+00:00,56.070524,160.614941,38.82,0.86,-0.661,1
2015-08-09 12:03:55.240000+00:00,56.044291,160.602165,29.7,1.14,-0.774,1
2015-08-09 13:22:17.350000+00:00,56.052584,160.606283,30.53,1.62,-0.655,1
2015-08-09 13:42:04.080000+00:00,56.056002,160.620231,32.23,1.15,-0.633,1
2015-08-09 14:19:30.020000+00:00,56.047953,160.59554,28.79,1.27,-0.685,1
2015-08-09 14:29:16.770000+00:00,56.062533,160.625879,35.06,1.25,-0.687,1
2015-08-09 14:33:21.320000+00:00,56.048283,160.619043,-0.45,1.05,-0.652,1
2015-08-09 14:38:10.990000+00:00,56.032088,160.50848,27.28,1.16,-0.838,1
2015-08-09 15:08:01.260000+00:00,56.061292,160.624561,33.91,1.23,-0.804,1
2015-08-09 15:48:19.320000+00:00,56.054476,160.604167,31.76,1.59,-0.719,1
2015-08-09 16:22:16.310000+00:00,56.049361,160.602767,29.8,1.25,-0.663,1
2015-08-09 16:34:59.710000+00:00,56.166211,160.40599,8.39,0.63,-100.0,1
2015-08-09 16:52:20.150000+00:00,56.052775,160.611865,31.25,1.16,-0.775,1
2015-08-09 17:08:09.280000+00:00,55.83892,160.3736,5.54,1.68,-0.955,1
2015-08-09 17:29:07.440000+00:00,56.048869,160.607048,30.6,1.15,-0.769,1
2015-08-09 17:46:46.700000+00:00,55.888359,160.408447,7.23,0.52,-100.0,1
2015-08-09 18:05:22.800000+00:00,56.061051,160.624056,33.03,1.64,-0.558,1
2015-08-09 18:36:12.480000+00:00,56.048368,160.613704,31.28,0.99,-0.485,1
2015-08-09 18:39:56.700000+00:00,56.131051,160.449219,5.09,0.38,-0.304,1
2015-08-09 18:57:49.620000+00:00,56.048869,160.594271,28.03,1.04,-0.673,1
2015-08-09 19:38:32.060000+00:00,56.051322,160.607308,30.03,1.48,-0.714,1
2015-08-09 20:28:38.440000+00:00,55.675521,160.414518,12.33,0.61,-100.0,1
2015-08-09 20:32:06.040000+00:00,56.056482,160.613298,34.04,1.44,-0.558,1
2015-08-09 20:41:38.680000+00:00,56.112138,160.439307,8.01,0.24,-0.535,1
2015-08-09 20:50:24.580000+00:00,56.15837,160.882015,22.99,1.47,0.018,1
2015-08-09 21:40:27.520000+00:00,56.060266,160.614616,33.41,1.35,-0.739,1
2015-08-09 23:21:38.300000+00:00,55.79266,160.450293,0.02,0.61,-0.223,1
2015-08-09 23:24:57.360000+00:00,56.051493,160.601042,30.75,1.48,-0.534,1
2015-08-10 00:34:26.300000+00:00,56.047587,160.607275,31.61,1.1,-0.531,1
2015-08-10 01:44:24.290000+00:00,55.8644,160.419352,8.57,0.73,-0.493,1
2015-08-10 02:17:29.320000+00:00,56.047982,160.589714,30.19,1.56,-0.586,1
2015-08-10 02:34:04.480000+00:00,56.192204,160.404346,9.32,0.46,-100.0,1
2015-08-10 02:43:03.850000+00:00,56.061511,160.601676,30.7,1.43,-0.612,1
2015-08-10 03:40:57.090000+00:00,56.13689,160.879329,25.17,1.64,-100.0,1
2015-08-10 04:06:25.020000+00:00,56.055168,160.61958,35.27,1.41,-0.408,1
2015-08-10 04:22:43.810000+00:00,55.523258,160.291683,32.89,2.16,-100.0,1
2015-08-10 04:34:02.950000+00:00,56.136308,160.880615,24.12,1.52,-0.207,1
2015-08-10 05:04:36.560000+00:00,56.038672,160.531038,32.44,1.04,-0.622,1
2015-08-10 06:14:15.530000+00:00,56.04952,160.597607,32.07,1.29,-0.53,1
2015-08-10 07:27:19.880000+00:00,56.06051,160.556104,14.01,0.83,-0.377,1
2015-08-10 07:53:22.930000+00:00,55.674585,160.139925,24.17,1.66,-0.015,1
2015-08-10 07:55:20.320000+00:00,55.577222,160.626807,42.14,1.47,-100.0,1
2015-08-10 09:01:14.260000+00:00,56.058419,160.5861,35.69,1.55,-0.519,1
2015-08-10 09:12:07.410000+00:00,56.044495,160.599072,28.21,1.48,-0.579,1
2015-08-10 09:30:41.550000+00:00,56.048853,160.601969,28.96,1.49,-0.737,1
2015-08-10 10:39:00.520000+00:00,56.045264,160.60778,29.21,1.13,-0.652,1
2015-08-10 10:59:06.500000+00:00,56.049178,160.603451,29.72,1.41,-0.644,1
2015-08-10 11:07:32.680000+00:00,56.213383,160.803206,-1.23,1.32,-100.0,1
2015-08-10 11:08:45.650000+00:00,56.229614,160.839762,23.9,1.44,0.062,1
2015-08-10 11:11:27.040000+00:00,56.173356,160.899447,22.87,2.05,0.042,1
2015-08-10 12:03:24.960000+00:00,56.053349,160.616357,30.55,1.58,-0.498,1
2015-08-10 12:32:52.960000+00:00,55.507088,160.297965,44.33,1.24,-100.0,1
2015-08-10 12:56:07.080000+00:00,56.129834,160.454427,0.54,0.66,-100.0,1
2015-08-10 13:43:12.570000+00:00,56.046281,160.600016,29.93,1.35,-0.636,1
2015-08-10 15:26:13.830000+00:00,56.051607,160.59598,29.47,1.43,-0.542,1
2015-08-10 16:03:59.230000+00:00,56.048303,160.588265,28.89,1.22,-100.0,1
2015-08-10 16:40:50.090000+00:00,55.739848,160.45166,12.93,0.67,-0.105,1
2015-08-10 16:45:24.260000+00:00,56.051404,160.604297,31.0,1.39,-0.786,1
2015-08-10 17:42:46.840000+00:00,55.852421,160.350439,2.93,0.17,-100.0,1
2015-08-10 18:21:45.560000+00:00,56.055688,160.601123,32.07,1.63,-0.642,1
2015-08-10 18:21:48.640000+00:00,56.050366,160.596468,35.68,1.8,-0.642,1
2015-08-10 18:39:57.080000+00:00,55.841036,160.39082,17.27,0.46,-100.0,1
2015-08-10 18:58:40.680000+00:00,56.061833,160.643164,9.56,1.26,-0.747,1
2015-08-10 19:56:01.720000+00:00,56.02089,160.600049,23.55,0.87,-0.716,1
2015-08-10 21:31:25.580000+00:00,56.045846,160.598828,29.49,1.3,-0.646,1
2015-08-10 21:49:38.040000+00:00,55.907987,160.674658,1.03,1.11,-100.0,1
2015-08-10 23:38:11.560000+00:00,56.053333,160.604183,30.71,1.48,-0.892,1
2015-08-10 23:48:07.440000+00:00,55.905123,160.667025,1.51,1.03,-100.0,1
2015-08-11 02:30:03.900000+00:00,55.82915,160.37111,0.6,0.52,-100.0,1
2015-08-11 03:55:19.890000+00:00,56.04268,160.591455,27.09,0.94,-0.702,1
2015-08-11 03:59:14.350000+00:00,55.699451,160.416471,8.81,0.92,-0.291,1
2015-08-11 06:41:44.320000+00:00,56.050464,160.607829,29.75,1.97,-0.811,1
2015-08-11 07:34:50.140000+00:00,56.156771,160.844661,21.79,1.56,0.017,1
2015-08-11 09:42:04.820000+00:00,55.816471,160.361995,-1.1,0.94,-0.765,1
2015-08-11 09:52:08.320000+00:00,56.049459,160.596322,29.54,1.55,-0.699,1
2015-08-11 11:19:35.520000+00:00,56.059379,160.610286,32.63,1.91,-0.827,1
2015-08-11 11:48:35.280000+00:00,56.1191,160.466618,6.15,1.12,-100.0,1
2015-08-11 12:41:12.340000+00:00,55.529146,160.326237,16.39,0.64,-100.0,1
2015-08-11 13:36:49.040000+00:00,56.047839,160.606266,30.01,1.45,-0.768,1
2015-08-11 15:29:44.310000+00:00,56.03232,160.421061,29.7,1.37,-100.0,1
2015-08-11 16:05:14.850000+00:00,56.091866,160.571419,38.02,1.55,-0.689,1
2015-08-11 17:39:46.860000+00:00,55.548397,160.28042,16.06,0.73,-100.0,1
2015-08-11 17:59:34.760000+00:00,55.661096,160.422396,8.62,0.45,-100.0,1
2015-08-11 18:00:16.040000+00:00,56.051086,160.600537,30.59,1.42,-0.708,1
2015-08-11 18:00:24.200000+00:00,56.053878,160.610221,32.2,1.88,-0.734,1
2015-08-11 18:25:08.600000+00:00,56.154688,160.860856,23.57,1.2,-100.0,1
2015-08-11 19:00:39.960000+00:00,56.030383,160.461426,36.87,1.33,-0.501,1
2015-08-11 20:10:56.360000+00:00,56.056881,160.607959,33.28,1.34,-0.749,1
2015-08-11 20:46:04.760000+00:00,55.713127,160.451139,12.39,0.42,-100.0,1
2015-08-11 22:08:35.240000+00:00,56.049048,160.61027,29.8,1.74,-0.713,1
2015-08-11 22:54:22.600000+00:00,56.121309,160.457454,0.13,0.83,-0.848,1
2015-08-11 23:18:45.920000+00:00,56.127572,160.438509,7.16,0.78,-0.703,1
2015-08-11 23:24:14.340000+00:00,55.982092,160.513997,28.04,1.39,-0.671,1
2015-08-12 00:28:38.850000+00:00,55.790055,160.348014,0.66,0.1,-100.0,1
2015-08-12 01:30:41.340000+00:00,56.051103,160.60555,28.09,1.59,-0.656,1
2015-08-12 02:50:44.030000+00:00,56.062288,160.605973,34.72,1.31,-100.0,1
2015-08-12 04:44:38.590000+00:00,55.832597,160.367432,0.38,0.42,-100.0,1
2015-08-12 05:27:11.310000+00:00,55.721318,160.460286,13.09,1.08,-0.061,1
2015-08-12 06:18:55.590000+00:00,56.056982,160.609342,31.87,1.8,-0.751,1
2015-08-12 07:23:03.250000+00:00,56.117863,160.443197,-0.69,0.69,-100.0,1
2015-08-12 09:18:11.680000+00:00,55.702161,160.437728,11.86,0.88,-0.003,1
2015-08-12 10:11:46.600000+00:00,56.010213,160.559717,23.19,1.55,-0.488,1
2015-08-12 11:51:34.890000+00:00,56.118998,160.450928,0.03,0.77,-0.719,1
2015-08-12 11:59:18.540000+00:00,56.060331,160.615316,34.12,1.88,-0.771,1
2015-08-12 12:56:52.260000+00:00,56.054704,160.605892,29.93,1.24,-0.671,1
2015-08-12 14:05:57.400000+00:00,56.053072,160.601237,31.11,1.47,-0.669,1
2015-08-12 15:43:28.140000+00:00,56.049247,160.609326,30.16,1.76,-0.693,1
2015-08-12 16:23:21.970000+00:00,56.116121,160.462044,0.39,0.93,-0.868,1
2015-08-12 16:48:39.870000+00:00,56.058195,160.605452,31.73,1.43,-0.759,1
2015-08-12 17:52:50.220000+00:00,56.209591,160.880745,27.4,1.9,-0.108,1
2015-08-12 17:59:26.560000+00:00,56.024947,160.597949,0.16,1.32,-0.634,1
2015-08-12 18:59:55.560000+00:00,55.576855,160.476921,30.07,1.62,-100.0,1
2015-08-12 19:10:16.540000+00:00,56.035738,160.687061,-2.97,1.24,-0.699,1
2015-08-12 20:05:09.100000+00:00,56.048653,160.603255,28.3,1.72,-0.706,1
2015-08-12 20:38:17.740000+00:00,56.063261,160.623682,-1.12,0.95,-0.761,1
2015-08-12 20:47:52.280000+00:00,56.050968,160.599951,30.04,1.55,-0.723,1
2015-08-12 22:06:22.800000+00:00,56.062272,160.619596,33.4,1.21,-0.664,1
2015-08-12 23:23:20.720000+00:00,56.057076,160.609326,31.97,1.46,-0.686,1
2015-08-12 23:56:05.760000+00:00,56.091056,160.575716,15.79,1.12,-0.228,1
2015-08-13 01:06:22.510000+00:00,56.050496,160.605322,30.12,1.75,-0.783,1
2015-08-13 01:06:44.060000+00:00,56.054199,160.650033,30.92,1.43,-100.0,1
2015-08-13 02:34:13.350000+00:00,56.060815,160.613086,35.05,1.39,-0.678,1
2015-08-13 03:57:04.560000+00:00,56.057601,160.619157,-1.25,1.41,-0.545,1
2015-08-13 04:42:26.150000+00:00,56.064392,160.64847,3.93,1.36,-0.705,1
2015-08-13 06:16:26.720000+00:00,56.052901,160.60957,31.08,1.81,-0.814,1
2015-08-13 07:14:09.740000+00:00,56.046623,160.600879,30.23,1.34,-0.72,1
2015-08-13 07:34:06.450000+00:00,56.130762,160.446777,4.35,0.6,-100.0,1
2015-08-13 08:18:21.290000+00:00,55.695732,160.495931,10.82,0.33,-100.0,1
