2015-08-03T14:56:47.810000Z,56.051729,160.607292,30.49,1.42
2015-08-05T02:33:26.280000Z,56.027136,160.655599,31.35,2.01
2015-08-06T02:11:34.860000Z,56.038220,160.563005,29.36,1.97
2015-08-06T08:01:51.920000Z,56.051261,160.605957,29.73,1.96
2015-08-06T10:07:05.340000Z,56.067623,160.550732,43.55,1.86
2015-08-06T13:44:12.140000Z,56.072233,160.510596,42.27,1.89
2015-08-06T21:33:44.900000Z,56.045638,160.593685,28.34,2.02
2015-08-07T00:31:16.420000Z,56.000960,160.676432,58.46,1.94
2015-08-07T02:25:25.950000Z,56.055448,160.616016,31.54,1.86
2015-08-07T03:15:33.960000Z,56.043144,160.615137,-1.25,1.74
2015-08-07T05:29:12.220000Z,56.051546,160.606104,30.13,1.92
2015-08-07T06:16:06.680000Z,56.008097,160.681852,34.14,1.55
2015-08-07T06:58:02.740000Z,56.057397,160.609033,31.82,1.80
2015-08-07T08:20:15.360000Z,56.039372,160.592074,27.23,1.58
2015-08-07T09:30:47.830000Z,56.008525,160.676790,33.69,1.35
2015-08-07T09:41:38.750000Z,56.051278,160.601351,30.35,1.64
2015-08-07T11:37:17.990000Z,56.046973,160.600944,29.54,1.54
2015-08-07T12:48:50.880000Z,56.042167,160.560173,27.73,1.14
2015-08-07T14:15:02.500000Z,56.080033,160.576221,44.28,1.35
2015-08-07T15:33:38.080000Z,56.048905,160.602002,28.58,1.70
2015-08-07T15:51:03.170000Z,56.065686,160.543538,42.04,1.07
2015-08-07T16:54:13.210000Z,56.051099,160.615316,-1.35,1.50
2015-08-07T18:26:59.800000Z,56.052295,160.606755,28.92,1.75
2015-08-07T19:38:18.880000Z,56.057621,160.609115,32.43,1.41
2015-08-07T19:39:57.320000Z,55.820544,160.537500,4.97,1.41
2015-08-07T20:54:46.240000Z,56.010836,160.526156,31.63,1.47
2015-08-07T22:16:51.860000Z,56.046139,160.591862,26.74,1.00
2015-08-07T23:09:57.180000Z,56.055876,160.627734,4.57,1.67
2015-08-08T02:10:56.770000Z,56.073718,160.632845,35.89,1.87
2015-08-08T02:40:43.600000Z,56.046155,160.590658,26.94,1.60
2015-08-08T03:13:39.580000Z,56.052987,160.600700,32.74,1.29
2015-08-08T04:07:11.830000Z,56.060612,160.618034,37.82,1.68
2015-08-08T04:43:03.040000Z,56.048193,160.533594,34.94,1.26
2015-08-08T05:14:42.990000Z,55.676762,160.436719,6.06,1.16
2015-08-08T05:25:09.970000Z,56.055184,160.583366,35.78,1.59
2015-08-08T06:13:23.670000Z,56.040666,160.589404,26.03,1.39
2015-08-08T07:17:30.270000Z,56.045780,160.600293,27.78,1.87
2015-08-08T08:28:34.340000Z,56.017607,160.686589,59.62,1.43
2015-08-08T08:58:51.900000Z,56.046623,160.627865,-1.12,1.06
2015-08-08T09:30:22.710000Z,56.060958,160.614893,33.45,1.26
2015-08-08T09:55:30.660000Z,56.049540,160.611247,28.06,1.48
2015-08-08T10:18:24.440000Z,56.052189,160.620671,-0.04,1.27
2015-08-08T11:13:04.500000Z,56.060844,160.609082,35.88,1.69
2015-08-08T12:12:49.590000Z,56.032235,160.569564,25.74,1.36
2015-08-08T12:26:20.170000Z,55.711369,160.439990,12.97,1.11
2015-08-08T12:27:11.840000Z,56.028369,160.577246,24.91,0.99
2015-08-08T13:29:08.440000Z,56.070915,160.770736,17.6,1.44
2015-08-08T13:43:36.750000Z,56.061983,160.609359,35.11,1.46
2015-08-08T13:52:35.150000Z,56.154097,160.884277,23.14,2.09
2015-08-08T14:18:23.940000Z,56.049117,160.596191,29.93,1.19
2015-08-08T14:36:15.510000Z,56.049166,160.608398,33.0,0.74
2015-08-08T15:00:14.560000Z,56.048283,160.599154,29.42,1.29
2015-08-08T15:05:27.460000Z,55.699805,160.392253,16.08,0.48
2015-08-08T15:18:47.870000Z,55.931714,160.695882,7.1,0.41
2015-08-08T16:29:37.350000Z,56.051164,160.599609,30.5,1.40
2015-08-08T16:38:51.880000Z,56.048466,160.598958,29.12,1.23
2015-08-08T16:58:42.490000Z,56.050208,160.493441,1.35,1.02
2015-08-08T17:28:30.500000Z,56.049361,160.597005,28.62,1.38
2015-08-08T17:56:59.860000Z,56.042061,160.583789,26.91,1.18
2015-08-08T18:35:07.340000Z,55.981673,160.494466,22.13,0.81
2015-08-08T18:38:53.560000Z,56.051746,160.543978,43.92,0.78
2015-08-08T18:56:36.440000Z,56.047921,160.595410,27.5,1.14
2015-08-08T19:35:58.120000Z,56.046257,160.592236,27.76,1.33
2015-08-08T19:42:02.840000Z,56.048433,160.582536,30.45,0.71
